job_id,user,num_gpu,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,vc_ed69ec,1,5601,5530,mobilenet_v2,96,5,159-189-229-289,10-8-5-2,0,soft
1,vc_6214e9,1,7505,760,alexnet,106,6,235,10,0,strict
2,vc_6c71a0,4,12378,3495,mobilenet_v2,26,14,102-142-182-242,10-8-5-2,0,soft
3,vc_6214e9,1,61,8388,inception_v3,83,18,119,10,0,strict
4,vc_b436b2,8,5597,9275,resnet101,68,23,103,10,0,strict
5,vc_6c71a0,1,10077,9936,alexnet,76,5,123-163-193-233,10-8-5-2,0,soft
6,vc_11cb48,1,3194,6006,mobilenet_v2,36,5,46-76-96-126,10-8-5-2,0,soft
7,vc_0e4a51,1,6926,7944,resnet101,210,5,334-394-444-454,10-8-5-2,0,soft
8,vc_103959,1,19082,3074,resnet101,335,17,598-628-658-838,10-8-5-2,0,soft
9,vc_6214e9,8,5985,8773,mobilenet_v2,303,14,615,10,0,strict
10,vc_ed69ec,1,918,6832,vgg16,146,10,918,10,1,best
11,vc_11cb48,1,12083,3241,vgg16,26,10,97-157-177-217,10-8-5-2,0,soft
12,vc_2869ce,1,11505,1394,inception_v3,26,11,75,10,0,strict
13,vc_103959,1,12316,5561,inception_v3,29,5,104-154-214-274,10-8-5-2,0,soft
14,vc_0e4a51,4,12195,3412,inception_v3,427,14,525,10,0,strict
15,vc_103959,1,12137,3332,vgg16,32,10,103,10,0,strict
16,vc_e13805,4,10678,9965,mobilenet_v2,103,19,242,10,0,strict
17,vc_2869ce,1,968,8788,mobilenet_v2,56,8,112-172-212-272,10-8-5-2,0,soft
18,vc_103959,1,13919,3015,inception_v3,43,16,121-141-161-181,10-8-5-2,0,soft
19,vc_2869ce,1,31,5854,alexnet,130,23,31,10,1,best
20,vc_0e4a51,1,12133,6575,alexnet,33,5,12133,10,1,best
21,vc_103959,1,1148,7899,alexnet,21,24,52-72-102-162,10-8-5-2,0,soft
22,vc_6c71a0,1,14410,1192,vgg16,25,5,50-110-150-170,10-8-5-2,0,soft
23,vc_b436b2,1,13898,5934,resnet101,22,5,13898,10,1,best
24,vc_ed69ec,8,7036,6721,vgg16,444,20,824-884-944-1184,10-8-5-2,0,soft
25,vc_2869ce,1,597,4226,vgg16,117,14,243-293-343-363,10-8-5-2,0,soft
26,vc_e13805,1,6689,2999,vgg16,530,10,991-1051-1171-1471,10-8-5-2,0,soft
27,vc_2869ce,1,15835,7802,alexnet,902,10,1205-1325-1445-1805,10-8-5-2,0,soft
28,vc_ee9e8c,1,7165,5142,mobilenet_v2,1224,12,1775-1895-2075-2615,10-8-5-2,0,soft
29,vc_0e4a51,1,11480,4979,mobilenet_v2,41,7,100-120-180-200,10-8-5-2,0,soft
