job_id,user,num_gpu,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,vc_103959,4,12198,6910,resnet101,211,8,282,10,0,strict
1,vc_7f04ca,1,19772,8897,resnet101,31,6,88,10,0,strict
2,vc_7f04ca,1,7199,7676,mobilenet_v2,106,24,241,10,0,strict
3,vc_6214e9,1,16739,9660,vgg16,1136,12,1621,10,0,strict
4,vc_11cb48,1,14411,4020,mobilenet_v2,48,16,109,10,0,strict
5,vc_0e4a51,1,16930,5651,resnet101,21,23,50,10,0,strict
6,vc_2869ce,1,9194,1097,inception_v3,506,20,946,10,0,strict
7,vc_11cb48,1,17843,7303,alexnet,26,16,37,10,0,strict
8,vc_b436b2,1,18269,3078,mobilenet_v2,331,6,571,10,0,strict
9,vc_b436b2,1,18777,5194,alexnet,28,21,63,10,0,strict
10,vc_ee9e8c,1,11352,1745,resnet101,208,15,288,10,0,strict
11,vc_2869ce,1,16969,1352,alexnet,23,24,71,10,0,strict
12,vc_ed69ec,1,1411,8788,mobilenet_v2,68,5,89,10,0,strict
13,vc_b436b2,1,7775,9814,resnet101,99,19,205,10,0,strict
14,vc_2869ce,1,8523,7628,resnet101,1159,9,1317,10,0,strict
15,vc_b436b2,1,13681,2884,vgg16,141,21,239,10,0,strict
16,vc_e13805,1,11502,861,alexnet,34,24,78,10,0,strict
17,vc_6c71a0,1,2850,7149,resnet101,1239,18,1530,10,0,strict
18,vc_ed69ec,1,13897,4500,resnet101,23,14,83,10,0,strict
19,vc_ee9e8c,1,3748,8626,mobilenet_v2,96,16,152,10,0,strict
20,vc_11cb48,1,1596,2108,resnet101,42,5,84,10,0,strict
21,vc_e13805,1,7419,7177,resnet101,2401,10,2781,10,0,strict
22,vc_ee9e8c,1,20134,8925,resnet101,395,16,566,10,0,strict
23,vc_ee9e8c,1,5708,984,vgg16,245,5,352,10,0,strict
24,vc_e13805,1,16930,3972,mobilenet_v2,21,10,50,10,0,strict
25,vc_6c71a0,1,14422,4265,vgg16,30,7,98,10,0,strict
26,vc_e13805,1,7774,8881,vgg16,99,25,146,10,0,strict
27,vc_11cb48,1,16022,3929,resnet101,351,5,418,10,0,strict
28,vc_6214e9,1,1407,8315,inception_v3,67,14,153,10,0,strict
29,vc_ed69ec,1,6904,2431,resnet101,228,21,416,10,0,strict
30,vc_6214e9,1,3297,8094,resnet101,33,17,123,10,0,strict
31,vc_6c71a0,1,17582,2010,resnet101,44,10,118,10,0,strict
32,vc_11cb48,1,15850,3327,resnet101,22,16,50,10,0,strict
33,vc_6c71a0,1,1379,260,inception_v3,100,7,121,10,0,strict
34,vc_11cb48,1,1478,1279,alexnet,38,5,82,10,0,strict
35,vc_0e4a51,1,879,6850,resnet101,23,12,81,10,0,strict
36,vc_0e4a51,1,216,8275,alexnet,86,10,144,10,0,strict
37,vc_11cb48,1,14335,6206,resnet101,34,14,65,10,0,strict
38,vc_7f04ca,1,613,5211,alexnet,40,21,107,10,0,strict
39,vc_b436b2,1,4011,610,vgg16,135,7,249,10,0,strict
40,vc_b436b2,1,1322,4361,inception_v3,41,24,118,10,0,strict
41,vc_6c71a0,4,11115,3179,resnet101,1645,18,2805,10,0,strict
42,vc_6c71a0,4,17794,5669,alexnet,558,21,986,10,0,strict
43,vc_0e4a51,1,7396,619,vgg16,189,5,344,10,0,strict
44,vc_0e4a51,8,6792,3727,vgg16,791,20,1188,10,0,strict
45,vc_2869ce,1,13552,3639,inception_v3,39,5,128,10,0,strict
46,vc_0e4a51,1,12132,5704,alexnet,33,11,108,10,0,strict
47,vc_b436b2,1,17160,9723,mobilenet_v2,22,7,60,10,0,strict
48,vc_2869ce,1,16020,1754,inception_v3,345,13,600,10,0,strict
49,vc_b436b2,1,12133,5954,alexnet,27,10,47,10,0,strict
50,vc_ee9e8c,1,18666,1622,mobilenet_v2,22,17,54,10,0,strict
51,vc_6214e9,1,18636,7286,resnet101,23,21,84,10,0,strict
